Selection Sort,Bubble Sort,Quick Sort
0.077765,0.143793,0.001
0.054953,0.139614,0.000989
0.060127,0.149801,0.001001
0.0551,0.147054,0.001022
0.055236,0.146162,0.001037
0.057483,0.146012,0.001517
0.060944,0.14044,0.001555
0.058801,0.142469,0.001444
0.061969,0.143676,0.001087
0.055158,0.145024,0.001034
0.057608,0.139078,0.000986
0.058243,0.143967,0.0011
0.060065,0.143874,0.001022
0.055195,0.140606,0.001006
0.05863,0.140655,0.000951
0.052525,0.141531,0.001005
0.052508,0.142863,0.000972
0.052549,0.143526,0.001179
0.052411,0.146313,0.001351
0.052335,0.14076,0.000979
0.054073,0.139234,0.001248
0.053512,0.149594,0.000982
0.052134,0.140253,0.001031
0.055213,0.139874,0.001081
0.057114,0.140748,0.001042
0.053187,0.139304,0.000984
0.05717,0.143335,0.000987
0.05691,0.141215,0.000999
0.053212,0.143386,0.000937
0.055879,0.142749,0.001007
0.053463,0.141688,0.001111
0.053906,0.145199,0.000984
0.0574,0.147689,0.000993
0.057249,0.140844,0.000994
0.053754,0.141666,0.000955
0.053848,0.141854,0.001014
0.0545,0.140555,0.000985
0.054126,0.146545,0.001004
0.055256,0.140469,0.001314
0.05528,0.142957,0.001414
0.052135,0.141414,0.001168
0.055558,0.149893,0.00099
0.054185,0.144164,0.001018
0.054658,0.145742,0.001094
0.052956,0.142322,0.001044
0.056938,0.141994,0.001109
0.0554,0.14225,0.001025
0.053406,0.140057,0.001038
0.052938,0.139963,0.001011
0.056293,0.140132,0.001003
0.057197,0.139566,0.000968
0.058682,0.151058,0.001008
0.054869,0.147994,0.000967
0.057142,0.144054,0.001079
0.05747,0.141751,0.001
0.056828,0.141766,0.001033
0.056829,0.143952,0.00105
0.058687,0.14246,0.00101
0.053426,0.14418,0.000971
0.0578,0.141705,0.001045
0.052277,0.146887,0.000983
0.052214,0.14807,0.001028
0.052804,0.149027,0.000967
0.055548,0.163013,0.000988
0.05395,0.144464,0.000976
0.055017,0.142049,0.000948
0.05309,0.142328,0.001021
0.052368,0.151761,0.000993
0.052486,0.146509,0.001039
0.056155,0.149232,0.001042
0.05287,0.147191,0.001005
0.052665,0.14633,0.00102
0.053099,0.147276,0.000984
0.053466,0.152231,0.001006
0.053385,0.155344,0.001079
0.05462,0.14614,0.001061
0.052904,0.143922,0.001005
0.053137,0.14915,0.001047
0.052902,0.146326,0.000944
0.053131,0.144524,0.00105
0.053092,0.144252,0.001013
0.053538,0.143026,0.000959
0.054878,0.145892,0.00099
0.054596,0.146676,0.001046
0.053553,0.14376,0.000979
0.053671,0.148276,0.001512
0.054966,0.142727,0.001405
0.052742,0.142101,0.000977
0.053834,0.148195,0.001036
0.053935,0.142075,0.000982
0.054606,0.146249,0.001099
0.05338,0.148042,0.001043
0.053633,0.140123,0.001044
0.058907,0.14182,0.001049
0.058243,0.142222,0.000991
0.058843,0.141871,0.001017
0.052901,0.141295,0.001175
0.05447,0.141741,0.00149
0.052798,0.148141,0.001535
0.052565,0.145936,0.001661
